OCCUPATION,ENTRY-LEVEL EDUCATION ,ON-THE-JOB TRAINING ,PROJECTED NUMBER OF NEW JOBS ,PROJECTED GROWTH RATE ,2021 MEDIAN PAY 
Emergency medical technicians and paramedics,Postsecondary nondegree award,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Engine and other machine assemblers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Engineering teachers, postsecondary",Doctoral or professional degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
"Engineers, all other",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
"English language and literature teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Entertainment attendants and related workers, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Environmental engineering technologists and technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Environmental engineers,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
"Environmental science and protection technicians, including health",Associate’s degree,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"Environmental science teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
"Environmental scientists and specialists, including health",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Epidemiologists,Master’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Etchers and engravers,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
"Excavating and loading machine and dragline operators, surface mining",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,The annual wage is not available.
Executive secretaries and executive administrative assistants,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
Exercise physiologists,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Exercise trainers and group fitness instructors,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
Fabric and apparel patternmakers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Fallers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
"Family and consumer sciences teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
Family medicine physicians,Doctoral or professional degree,Internship/residency,"5,000 to 9,999",Slower than average,"$80,000 or more"
Farm and home management educators,Master’s degree,None,Declining,Little or no change,"$40,000 to $59,999"
Farm equipment mechanics and service technicians,High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
Farm labor contractors,No formal educational credential,Short-term on-the-job training,0 to 999,Faster than average,"$40,000 to $59,999"
"Farmers, ranchers, and other agricultural managers",High school diploma or equivalent,None,Declining,Little or no change,"$60,000 to $79,999"
"Farmworkers and laborers, crop, nursery, and greenhouse",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Slower than average,"Less than $30,000"
"Farmworkers, farm, ranch, and aquacultural animals",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Fashion designers,Bachelor’s degree,None,0 to 999,Little or no change,"$60,000 to $79,999"
Fast food and counter workers,No formal educational credential,Short-term on-the-job training,"50,000 or more",Faster than average,"Less than $30,000"
Fence erectors,No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
Fiberglass laminators and fabricators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
File clerks,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Film and video editors,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Financial clerks, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Financial examiners,Bachelor’s degree,Long-term on-the-job training,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Financial managers,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
"Fine artists, including painters, sculptors, and illustrators",Bachelor’s degree,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Fire inspectors and investigators,Postsecondary nondegree award,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Firefighters,Postsecondary nondegree award,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
First-line supervisors of construction trades and extraction workers,High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
First-line supervisors of correctional officers,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
"First-line supervisors of farming, fishing, and forestry workers",High school diploma or equivalent,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
First-line supervisors of firefighting and prevention workers,Postsecondary nondegree award,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
First-line supervisors of food preparation and serving workers,High school diploma or equivalent,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
First-line supervisors of gambling services workers,High school diploma or equivalent,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
First-line supervisors of housekeeping and janitorial workers,High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",High school diploma or equivalent,None,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"First-line supervisors of mechanics, installers, and repairers",High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
First-line supervisors of non-retail sales workers,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
First-line supervisors of office and administrative support workers,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",High school diploma or equivalent,None,"10,000 to 49,999",Much faster than average,The annual wage is not available.
First-line supervisors of police and detectives,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$80,000 or more"
First-line supervisors of production and operating workers,High school diploma or equivalent,None,"10,000 to 49,999",Slower than average,"$60,000 to $79,999"
First-line supervisors of retail sales workers,High school diploma or equivalent,None,Declining,Decline,"$30,000 to $39,999"
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,The annual wage is not available.
Fish and game wardens,Bachelor’s degree,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
Fishing and hunting workers,No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,The annual wage is not available.
Flight attendants,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"Floor layers, except carpet, wood, and hard tiles",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Floor sanders and finishers,No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Floral designers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"Less than $30,000"
"Food and tobacco roasting, baking, and drying machine operators and tenders",No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Food batchmakers,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
Food cooking machine operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"Food preparation and serving related workers, all other",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Food preparation workers,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"Less than $30,000"
"Food processing workers, all other",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
Food scientists and technologists,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Food servers, nonrestaurant",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
Food service managers,High school diploma or equivalent,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
"Foreign language and literature teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Forensic science technicians,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Forest and conservation technicians,Associate’s degree,None,0 to 999,Little or no change,"$30,000 to $39,999"
Forest and conservation workers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Forest fire inspectors and prevention specialists,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
Foresters,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Forestry and conservation science teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
"Forging machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Foundry mold and coremakers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Fundraisers,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Funeral attendants,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"Less than $30,000"
Funeral home managers,Associate’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
"Furnace, kiln, oven, drier, and kettle operators and tenders",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
Furniture finishers,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Gambling and sports book writers and runners,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Gambling cage workers,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Gambling change persons and booth cashiers,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Gambling dealers,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Gambling managers,High school diploma or equivalent,None,0 to 999,Much faster than average,"$60,000 to $79,999"
"Gambling service workers, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Gambling surveillance officers and gambling investigators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
Gas compressor and gas pumping station operators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
Gas plant operators,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
General and operations managers,Bachelor’s degree,None,"50,000 or more",As fast as average,"$80,000 or more"
General internal medicine physicians,Doctoral or professional degree,Internship/residency,Declining,Little or no change,"$80,000 or more"
Genetic counselors,Master’s degree,None,0 to 999,Much faster than average,"$80,000 or more"
Geographers,Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
"Geography teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
Geological and hydrologic technicians,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,The annual wage is not available.
"Geoscientists, except hydrologists and geographers",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Glaziers,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Graders and sorters, agricultural products",No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
Graphic designers,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"Grinding and polishing workers, hand",No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Grounds maintenance workers, all other",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"Hairdressers, hairstylists, and cosmetologists",Postsecondary nondegree award,None,"50,000 or more",Much faster than average,"Less than $30,000"
Hazardous materials removal workers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Health and safety engineers, except mining safety engineers and inspectors",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Health education specialists,Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",Postsecondary nondegree award,None,"5,000 to 9,999",Faster than average,The annual wage is not available.
"Health specialties teachers, postsecondary",Doctoral or professional degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
Healthcare social workers,Master’s degree,Internship/residency,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"Healthcare support workers, all other",High school diploma or equivalent,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Hearing aid specialists,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Faster than average,"$40,000 to $59,999"
"Heat treating equipment setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Heating, air conditioning, and refrigeration mechanics and installers",Postsecondary nondegree award,Long-term on-the-job training,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Heavy and tractor-trailer truck drivers,Postsecondary nondegree award,Short-term on-the-job training,"50,000 or more",As fast as average,"$40,000 to $59,999"
"Helpers, construction trades, all other",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Helpers--carpenters,No formal educational credential,Short-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
Helpers--electricians,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
Helpers--extraction workers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
"Helpers--installation, maintenance, and repair workers",High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
"Helpers--painters, paperhangers, plasterers, and stucco masons",No formal educational credential,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Helpers--production workers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Helpers--roofers,No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Highway maintenance workers,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
Historians,Master’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
"History teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Hoist and winch operators,No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
Home appliance repairers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Home health and personal care aides,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
"Hosts and hostesses, restaurant, lounge, and coffee shop",No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
"Hotel, motel, and resort desk clerks",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
"Human resources assistants, except payroll and timekeeping",Associate’s degree,None,Declining,Decline,"$40,000 to $59,999"
Human resources managers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
Human resources specialists,Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
Hydrologists,Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
Industrial engineering technologists and technicians,Associate’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Industrial engineers,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
Industrial machinery mechanics,High school diploma or equivalent,Long-term on-the-job training,"50,000 or more",Much faster than average,"$40,000 to $59,999"
Industrial production managers,Bachelor’s degree,None,"10,000 to 49,999",Slower than average,"$80,000 or more"
Industrial truck and tractor operators,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Industrial-organizational psychologists,Master’s degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
"Information and record clerks, all other",High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
Information security analysts,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
"Inspectors, testers, sorters, samplers, and weighers",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Installation, maintenance, and repair workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
Instructional coordinators,Master’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Insulation workers, floor, ceiling, and wall",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"Insulation workers, mechanical",High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Insurance appraisers, auto damage",Postsecondary nondegree award,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
Insurance claims and policy processing clerks,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$40,000 to $59,999"
Insurance sales agents,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
Insurance underwriters,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
Interior designers,Bachelor’s degree,None,Declining,Little or no change,"$60,000 to $79,999"
Interpreters and translators,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
"Interviewers, except eligibility and loan",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Janitors and cleaners, except maids and housekeeping cleaners",No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"Less than $30,000"
Jewelers and precious stone and metal workers,High school diploma or equivalent,Long-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
"Judges, magistrate judges, and magistrates",Doctoral or professional degree,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$80,000 or more"
Judicial law clerks,Doctoral or professional degree,None,0 to 999,Slower than average,"$40,000 to $59,999"
"Kindergarten teachers, except special education",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Labor relations specialists,Bachelor’s degree,None,Declining,Decline,"$60,000 to $79,999"
"Laborers and freight, stock, and material movers, hand",No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
Landscape architects,Bachelor’s degree,Internship/residency,Declining,Little or no change,"$60,000 to $79,999"
Landscaping and groundskeeping workers,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Laundry and dry-cleaning workers,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
"Law teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
Lawyers,Doctoral or professional degree,None,"50,000 or more",As fast as average,"$80,000 or more"
"Layout workers, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Legal secretaries and administrative assistants,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Legal support workers, all other",Associate’s degree,None,0 to 999,Little or no change,"$40,000 to $59,999"
Legislators,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Librarians and media collections specialists,Master’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Library assistants, clerical",High school diploma or equivalent,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
"Library science teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
Library technicians,Postsecondary nondegree award,None,0 to 999,Little or no change,"$30,000 to $39,999"
Licensed practical and licensed vocational nurses,Postsecondary nondegree award,None,"50,000 or more",As fast as average,"$40,000 to $59,999"
"Life scientists, all other",Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
"Life, physical, and social science technicians, all other",Associate’s degree,None,"5,000 to 9,999",As fast as average,The annual wage is not available.
"Lifeguards, ski patrol, and other recreational protective service workers",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Light truck drivers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
"Lighting technicians and media and communication equipment workers, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
"Loading and moving machine operators, underground mining",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Loan interviewers and clerks,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Loan officers,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$60,000 to $79,999"
"Locker room, coatroom, and dressing room attendants",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Locksmiths and safe repairers,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Locomotive engineers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Lodging managers,High school diploma or equivalent,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Log graders and scalers,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
Logging equipment operators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Logging workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
Logisticians,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$60,000 to $79,999"
Machine feeders and offbearers,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Machinists,High school diploma or equivalent,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
Magnetic resonance imaging technologists,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Maids and housekeeping cleaners,No formal educational credential,Short-term on-the-job training,"50,000 or more",Faster than average,"Less than $30,000"
"Mail clerks and mail machine operators, except postal service",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Maintenance and repair workers, general",High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",As fast as average,"$40,000 to $59,999"
"Maintenance workers, machinery",High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
"Makeup artists, theatrical and performance",Postsecondary nondegree award,None,"1,000 to 4,999",Much faster than average,"$80,000 or more"
Management analysts,Bachelor’s degree,None,"50,000 or more",Faster than average,"$80,000 or more"
Manicurists and pedicurists,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Manufactured building and mobile home installers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Marine engineers and naval architects,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
Market research analysts and marketing specialists,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$60,000 to $79,999"
Marketing managers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
Marriage and family therapists,Master’s degree,Internship/residency,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
Massage therapists,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
"Material moving workers, all other",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,The annual wage is not available.
Materials engineers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Materials scientists,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
"Mathematical science teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Mathematicians,Master’s degree,None,0 to 999,Slower than average,"$80,000 or more"
"Meat, poultry, and fish cutters and trimmers",No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",Slower than average,"Less than $30,000"
Mechanical door repairers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Mechanical drafters,Associate’s degree,None,Declining,Decline,"$60,000 to $79,999"
Mechanical engineering technologists and technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Mechanical engineers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Media and communication workers, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
Medical and health services managers,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
Medical appliance technicians,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Medical assistants,Postsecondary nondegree award,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",Postsecondary nondegree award,None,"10,000 to 49,999",As fast as average,The annual wage is not available.
Medical equipment preparers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Medical equipment repairers,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Medical scientists, except epidemiologists",Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Medical secretaries and administrative assistants,High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",Faster than average,"$30,000 to $39,999"
Medical transcriptionists,Postsecondary nondegree award,None,Declining,Decline,"$30,000 to $39,999"
"Meeting, convention, and event planners",Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
